tensor(2.0905, grad_fn=<NllLossBackward0>)
tensor(2.0367, grad_fn=<NllLossBackward0>)
tensor(2.0594, grad_fn=<NllLossBackward0>)
tensor(2.1308, grad_fn=<NllLossBackward0>)
tensor(2.0478, grad_fn=<NllLossBackward0>)
tensor(2.0408, grad_fn=<NllLossBackward0>)
tensor(2.1316, grad_fn=<NllLossBackward0>)
tensor(2.1065, grad_fn=<NllLossBackward0>)
tensor(2.0740, grad_fn=<NllLossBackward0>)
tensor(2.0581, grad_fn=<NllLossBackward0>)
tensor(2.1523, grad_fn=<NllLossBackward0>)
tensor(1.9765, grad_fn=<NllLossBackward0>)
tensor(2.0177, grad_fn=<NllLossBackward0>)
tensor(2.0698, grad_fn=<NllLossBackward0>)
tensor(2.0015, grad_fn=<NllLossBackward0>)
tensor(2.0159, grad_fn=<NllLossBackward0>)
tensor(1.9942, grad_fn=<NllLossBackward0>)
tensor(2.1380, grad_fn=<NllLossBackward0>)
tensor(2.0116, grad_fn=<NllLossBackward0>)
tensor(1.9284, grad_fn=<NllLossBackward0>)
tensor(2.0603, grad_fn=<NllLossBackward0>)
tensor(2.0219, grad_fn=<NllLossBackward0>)
tensor(2.0192, grad_fn=<NllLossBackward0>)
tensor(2.0568, grad_fn=<NllLossBackward0>)
tensor(2.1270, grad_fn=<NllLossBackward0>)
tensor(1.9631, grad_fn=<NllLossBackward0>)
tensor(2.0406, grad_fn=<NllLossBackward0>)
tensor(1.9766, grad_fn=<NllLossBackward0>)
tensor(1.9252, grad_fn=<NllLossBackward0>)
tensor(2.0321, grad_fn=<NllLossBackward0>)
tensor(1.8909, grad_fn=<NllLossBackward0>)
tensor(1.9793, grad_fn=<NllLossBackward0>)
tensor(2.1600, grad_fn=<NllLossBackward0>)
tensor(1.9317, grad_fn=<NllLossBackward0>)
tensor(1.9669, grad_fn=<NllLossBackward0>)
tensor(2.0190, grad_fn=<NllLossBackward0>)
tensor(2.0559, grad_fn=<NllLossBackward0>)
tensor(1.9799, grad_fn=<NllLossBackward0>)
tensor(1.9005, grad_fn=<NllLossBackward0>)
tensor(1.9724, grad_fn=<NllLossBackward0>)
tensor(1.9752, grad_fn=<NllLossBackward0>)
tensor(1.9553, grad_fn=<NllLossBackward0>)
tensor(1.9139, grad_fn=<NllLossBackward0>)
tensor(1.9702, grad_fn=<NllLossBackward0>)
tensor(2.1465, grad_fn=<NllLossBackward0>)
tensor(1.9733, grad_fn=<NllLossBackward0>)
